Letter_ID	date	left or right context	Context words of brain
DCP-LETT-686.xml	1843	left	highly
DCP-LETT-686.xml	1843	left	organized
DCP-LETT-686.xml	1843	right	puzzled
DCP-LETT-686.xml	1843	left	consideration
DCP-LETT-686.xml	1843	right	alone
DCP-LETT-686.xml	1843	right	thing
DCP-LETT-686.xml	1843	left	highly
DCP-LETT-686.xml	1843	left	organized
DCP-LETT-686.xml	1843	right	necessarily
DCP-LETT-686.xml	1843	right	followed
DCP-LETT-686.xml	1843	left	good
DCP-LETT-686.xml	1843	right	recompense
DCP-LETT-686.xml	1843	left	Carnivora
DCP-LETT-686.xml	1843	right	seal
DCP-LETT-686.xml	1843	left	structure
DCP-LETT-686.xml	1843	right	species
DCP-LETT-686.xml	1843	right	many
DCP-LETT-686.xml	1843	left	much
DCP-LETT-686.xml	1843	left	higher
DCP-LETT-686.xml	1843	right	lowest
DCP-LETT-686.xml	1843	left	good
DCP-LETT-686.xml	1843	right	highest
